201				
Z	TKE	omega	TI	L
5.04460E-03	3.02035E-03	1.37340E+02	3.98189E-02	4.44620E-03
5.09669E-03	2.94044E-03	1.35529E+02	3.92890E-02	4.44561E-03
5.14871E-03	2.86372E-03	1.33749E+02	3.87734E-02	4.44562E-03
5.20067E-03	2.79043E-03	1.32004E+02	3.82745E-02	4.44637E-03
5.25255E-03	2.72084E-03	1.30301E+02	3.77946E-02	4.44796E-03
5.30433E-03	2.65518E-03	1.28647E+02	3.73362E-02	4.45046E-03
5.35602E-03	2.59367E-03	1.27047E+02	3.69016E-02	4.45400E-03
5.40759E-03	2.53651E-03	1.25508E+02	3.64931E-02	4.45866E-03
5.45904E-03	2.48387E-03	1.24032E+02	3.61128E-02	4.46466E-03
5.51036E-03	2.43587E-03	1.22617E+02	3.57625E-02	4.47233E-03
5.56153E-03	2.39312E-03	1.21314E+02	3.54476E-02	4.48052E-03
5.61255E-03	2.35628E-03	1.20175E+02	3.51740E-02	4.48804E-03
5.66341E-03	2.32549E-03	1.19211E+02	3.49437E-02	4.49468E-03
5.71409E-03	2.30087E-03	1.18430E+02	3.47585E-02	4.50030E-03
5.76459E-03	2.28250E-03	1.17840E+02	3.46196E-02	4.50474E-03
5.81490E-03	2.27041E-03	1.17445E+02	3.45279E-02	4.50791E-03
5.86500E-03	2.26467E-03	1.17246E+02	3.44843E-02	4.50985E-03
				
